instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,cnt,Weather Name
1,2011-01-01,1,0,1,0,6,0,2,985,Cloudy
2,2011-01-02,1,0,1,0,0,0,2,801,Cloudy
3,2011-01-03,1,0,1,0,1,1,1,1349,Clear
4,2011-01-04,1,0,1,0,2,1,1,1562,Clear
5,2011-01-05,1,0,1,0,3,1,1,1600,Clear
6,2011-01-06,1,0,1,0,4,1,1,1606,Clear
7,2011-01-07,1,0,1,0,5,1,2,1510,Cloudy
8,2011-01-08,1,0,1,0,6,0,2,959,Cloudy
9,2011-01-09,1,0,1,0,0,0,1,822,Clear
10,2011-01-10,1,0,1,0,1,1,1,1321,Clear
11,2011-01-11,1,0,1,0,2,1,2,1263,Cloudy
12,2011-01-12,1,0,1,0,3,1,1,1162,Clear
13,2011-01-13,1,0,1,0,4,1,1,1406,Clear
14,2011-01-14,1,0,1,0,5,1,1,1421,Clear
15,2011-01-15,1,0,1,0,6,0,2,1248,Cloudy
16,2011-01-16,1,0,1,0,0,0,1,1204,Clear
17,2011-01-17,1,0,1,1,1,0,2,1000,Cloudy
18,2011-01-18,1,0,1,0,2,1,2,683,Cloudy
19,2011-01-19,1,0,1,0,3,1,2,1650,Cloudy
20,2011-01-20,1,0,1,0,4,1,2,1927,Cloudy
21,2011-01-21,1,0,1,0,5,1,1,1543,Clear
22,2011-01-22,1,0,1,0,6,0,1,981,Clear
23,2011-01-23,1,0,1,0,0,0,1,986,Clear
24,2011-01-24,1,0,1,0,1,1,1,1416,Clear
25,2011-01-25,1,0,1,0,2,1,2,1985,Cloudy
26,2011-01-26,1,0,1,0,3,1,3,506,Light Snow/Rain
27,2011-01-27,1,0,1,0,4,1,1,431,Clear
28,2011-01-28,1,0,1,0,5,1,2,1167,Cloudy
29,2011-01-29,1,0,1,0,6,0,1,1098,Clear
30,2011-01-30,1,0,1,0,0,0,1,1096,Clear
31,2011-01-31,1,0,1,0,1,1,2,1501,Cloudy
32,2011-02-01,1,0,2,0,2,1,2,1360,Cloudy
33,2011-02-02,1,0,2,0,3,1,2,1526,Cloudy
34,2011-02-03,1,0,2,0,4,1,1,1550,Clear
35,2011-02-04,1,0,2,0,5,1,2,1708,Cloudy
36,2011-02-05,1,0,2,0,6,0,2,1005,Cloudy
37,2011-02-06,1,0,2,0,0,0,1,1623,Clear
38,2011-02-07,1,0,2,0,1,1,1,1712,Clear
39,2011-02-08,1,0,2,0,2,1,1,1530,Clear
40,2011-02-09,1,0,2,0,3,1,2,1605,Cloudy
41,2011-02-10,1,0,2,0,4,1,1,1538,Clear
42,2011-02-11,1,0,2,0,5,1,1,1746,Clear
43,2011-02-12,1,0,2,0,6,0,1,1472,Clear
44,2011-02-13,1,0,2,0,0,0,1,1589,Clear
45,2011-02-14,1,0,2,0,1,1,1,1913,Clear
46,2011-02-15,1,0,2,0,2,1,1,1815,Clear
47,2011-02-16,1,0,2,0,3,1,1,2115,Clear
48,2011-02-17,1,0,2,0,4,1,1,2475,Clear
49,2011-02-18,1,0,2,0,5,1,1,2927,Clear
50,2011-02-19,1,0,2,0,6,0,1,1635,Clear
51,2011-02-20,1,0,2,0,0,0,1,1812,Clear
52,2011-02-21,1,0,2,1,1,0,2,1107,Cloudy
53,2011-02-22,1,0,2,0,2,1,1,1450,Clear
54,2011-02-23,1,0,2,0,3,1,1,1917,Clear
55,2011-02-24,1,0,2,0,4,1,2,1807,Cloudy
56,2011-02-25,1,0,2,0,5,1,2,1461,Cloudy
57,2011-02-26,1,0,2,0,6,0,1,1969,Clear
58,2011-02-27,1,0,2,0,0,0,1,2402,Clear
59,2011-02-28,1,0,2,0,1,1,2,1446,Cloudy
60,2011-03-01,1,0,3,0,2,1,1,1851,Clear
61,2011-03-02,1,0,3,0,3,1,1,2134,Clear
62,2011-03-03,1,0,3,0,4,1,1,1685,Clear
63,2011-03-04,1,0,3,0,5,1,2,1944,Cloudy
64,2011-03-05,1,0,3,0,6,0,2,2077,Cloudy
65,2011-03-06,1,0,3,0,0,0,2,605,Cloudy
66,2011-03-07,1,0,3,0,1,1,1,1872,Clear
67,2011-03-08,1,0,3,0,2,1,1,2133,Clear
68,2011-03-09,1,0,3,0,3,1,2,1891,Cloudy
69,2011-03-10,1,0,3,0,4,1,3,623,Light Snow/Rain
70,2011-03-11,1,0,3,0,5,1,2,1977,Cloudy
71,2011-03-12,1,0,3,0,6,0,1,2132,Clear
72,2011-03-13,1,0,3,0,0,0,1,2417,Clear
73,2011-03-14,1,0,3,0,1,1,1,2046,Clear
74,2011-03-15,1,0,3,0,2,1,2,2056,Cloudy
75,2011-03-16,1,0,3,0,3,1,2,2192,Cloudy
76,2011-03-17,1,0,3,0,4,1,1,2744,Clear
77,2011-03-18,1,0,3,0,5,1,1,3239,Clear
78,2011-03-19,1,0,3,0,6,0,1,3117,Clear
79,2011-03-20,1,0,3,0,0,0,1,2471,Clear
80,2011-03-21,2,0,3,0,1,1,2,2077,Cloudy
81,2011-03-22,2,0,3,0,2,1,1,2703,Clear
82,2011-03-23,2,0,3,0,3,1,2,2121,Cloudy
83,2011-03-24,2,0,3,0,4,1,2,1865,Cloudy
84,2011-03-25,2,0,3,0,5,1,1,2210,Clear
85,2011-03-26,2,0,3,0,6,0,1,2496,Clear
86,2011-03-27,2,0,3,0,0,0,2,1693,Cloudy
87,2011-03-28,2,0,3,0,1,1,1,2028,Clear
88,2011-03-29,2,0,3,0,2,1,1,2425,Clear
89,2011-03-30,2,0,3,0,3,1,2,1536,Cloudy
90,2011-03-31,2,0,3,0,4,1,3,1685,Light Snow/Rain
91,2011-04-01,2,0,4,0,5,1,2,2227,Cloudy
92,2011-04-02,2,0,4,0,6,0,2,2252,Cloudy
93,2011-04-03,2,0,4,0,0,0,1,3249,Clear
94,2011-04-04,2,0,4,0,1,1,1,3115,Clear
95,2011-04-05,2,0,4,0,2,1,2,1795,Cloudy
96,2011-04-06,2,0,4,0,3,1,1,2808,Clear
97,2011-04-07,2,0,4,0,4,1,1,3141,Clear
98,2011-04-08,2,0,4,0,5,1,2,1471,Cloudy
99,2011-04-09,2,0,4,0,6,0,2,2455,Cloudy
100,2011-04-10,2,0,4,0,0,0,2,2895,Cloudy
101,2011-04-11,2,0,4,0,1,1,2,3348,Cloudy
102,2011-04-12,2,0,4,0,2,1,2,2034,Cloudy
103,2011-04-13,2,0,4,0,3,1,2,2162,Cloudy
104,2011-04-14,2,0,4,0,4,1,1,3267,Clear
105,2011-04-15,2,0,4,1,5,0,1,3126,Clear
106,2011-04-16,2,0,4,0,6,0,3,795,Light Snow/Rain
107,2011-04-17,2,0,4,0,0,0,1,3744,Clear
108,2011-04-18,2,0,4,0,1,1,1,3429,Clear
109,2011-04-19,2,0,4,0,2,1,2,3204,Cloudy
110,2011-04-20,2,0,4,0,3,1,1,3944,Clear
111,2011-04-21,2,0,4,0,4,1,1,4189,Clear
112,2011-04-22,2,0,4,0,5,1,2,1683,Cloudy
113,2011-04-23,2,0,4,0,6,0,2,4036,Cloudy
114,2011-04-24,2,0,4,0,0,0,2,4191,Cloudy
115,2011-04-25,2,0,4,0,1,1,1,4073,Clear
116,2011-04-26,2,0,4,0,2,1,1,4400,Clear
117,2011-04-27,2,0,4,0,3,1,2,3872,Cloudy
118,2011-04-28,2,0,4,0,4,1,2,4058,Cloudy
119,2011-04-29,2,0,4,0,5,1,1,4595,Clear
120,2011-04-30,2,0,4,0,6,0,1,5312,Clear
121,2011-05-01,2,0,5,0,0,0,2,3351,Cloudy
122,2011-05-02,2,0,5,0,1,1,2,4401,Cloudy
123,2011-05-03,2,0,5,0,2,1,2,4451,Cloudy
124,2011-05-04,2,0,5,0,3,1,2,2633,Cloudy
125,2011-05-05,2,0,5,0,4,1,1,4433,Clear
126,2011-05-06,2,0,5,0,5,1,1,4608,Clear
127,2011-05-07,2,0,5,0,6,0,1,4714,Clear
128,2011-05-08,2,0,5,0,0,0,1,4333,Clear
129,2011-05-09,2,0,5,0,1,1,1,4362,Clear
130,2011-05-10,2,0,5,0,2,1,1,4803,Clear
131,2011-05-11,2,0,5,0,3,1,1,4182,Clear
