instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,cnt,Season Name
1,2011-01-01,1,0,1,0,0,6,0,1,16,Spring
2,2011-01-01,1,0,1,1,0,6,0,1,40,Spring
3,2011-01-01,1,0,1,2,0,6,0,1,32,Spring
4,2011-01-01,1,0,1,3,0,6,0,1,13,Spring
5,2011-01-01,1,0,1,4,0,6,0,1,1,Spring
6,2011-01-01,1,0,1,5,0,6,0,2,1,Spring
7,2011-01-01,1,0,1,6,0,6,0,1,2,Spring
8,2011-01-01,1,0,1,7,0,6,0,1,3,Spring
9,2011-01-01,1,0,1,8,0,6,0,1,8,Spring
10,2011-01-01,1,0,1,9,0,6,0,1,14,Spring
11,2011-01-01,1,0,1,10,0,6,0,1,36,Spring
12,2011-01-01,1,0,1,11,0,6,0,1,56,Spring
13,2011-01-01,1,0,1,12,0,6,0,1,84,Spring
14,2011-01-01,1,0,1,13,0,6,0,2,94,Spring
15,2011-01-01,1,0,1,14,0,6,0,2,106,Spring
16,2011-01-01,1,0,1,15,0,6,0,2,110,Spring
17,2011-01-01,1,0,1,16,0,6,0,2,93,Spring
18,2011-01-01,1,0,1,17,0,6,0,2,67,Spring
19,2011-01-01,1,0,1,18,0,6,0,3,35,Spring
20,2011-01-01,1,0,1,19,0,6,0,3,37,Spring
21,2011-01-01,1,0,1,20,0,6,0,2,36,Spring
22,2011-01-01,1,0,1,21,0,6,0,2,34,Spring
23,2011-01-01,1,0,1,22,0,6,0,2,28,Spring
24,2011-01-01,1,0,1,23,0,6,0,2,39,Spring
25,2011-01-02,1,0,1,0,0,0,0,2,17,Spring
26,2011-01-02,1,0,1,1,0,0,0,2,17,Spring
27,2011-01-02,1,0,1,2,0,0,0,2,9,Spring
28,2011-01-02,1,0,1,3,0,0,0,2,6,Spring
29,2011-01-02,1,0,1,4,0,0,0,2,3,Spring
30,2011-01-02,1,0,1,6,0,0,0,3,2,Spring
31,2011-01-02,1,0,1,7,0,0,0,2,1,Spring
32,2011-01-02,1,0,1,8,0,0,0,3,8,Spring
33,2011-01-02,1,0,1,9,0,0,0,2,20,Spring
34,2011-01-02,1,0,1,10,0,0,0,2,53,Spring
35,2011-01-02,1,0,1,11,0,0,0,2,70,Spring
36,2011-01-02,1,0,1,12,0,0,0,2,93,Spring
37,2011-01-02,1,0,1,13,0,0,0,2,75,Spring
38,2011-01-02,1,0,1,14,0,0,0,3,59,Spring
39,2011-01-02,1,0,1,15,0,0,0,3,74,Spring
40,2011-01-02,1,0,1,16,0,0,0,3,76,Spring
41,2011-01-02,1,0,1,17,0,0,0,1,65,Spring
42,2011-01-02,1,0,1,18,0,0,0,2,53,Spring
43,2011-01-02,1,0,1,19,0,0,0,1,30,Spring
44,2011-01-02,1,0,1,20,0,0,0,1,22,Spring
45,2011-01-02,1,0,1,21,0,0,0,1,31,Spring
46,2011-01-02,1,0,1,22,0,0,0,1,9,Spring
47,2011-01-02,1,0,1,23,0,0,0,1,8,Spring
48,2011-01-03,1,0,1,0,0,1,1,1,5,Spring
49,2011-01-03,1,0,1,1,0,1,1,1,2,Spring
50,2011-01-03,1,0,1,4,0,1,1,1,1,Spring
51,2011-01-03,1,0,1,5,0,1,1,1,3,Spring
52,2011-01-03,1,0,1,6,0,1,1,1,30,Spring
53,2011-01-03,1,0,1,7,0,1,1,1,64,Spring
54,2011-01-03,1,0,1,8,0,1,1,1,154,Spring
55,2011-01-03,1,0,1,9,0,1,1,1,88,Spring
56,2011-01-03,1,0,1,10,0,1,1,1,44,Spring
57,2011-01-03,1,0,1,11,0,1,1,1,51,Spring
58,2011-01-03,1,0,1,12,0,1,1,1,61,Spring
59,2011-01-03,1,0,1,13,0,1,1,1,61,Spring
60,2011-01-03,1,0,1,14,0,1,1,1,77,Spring
61,2011-01-03,1,0,1,15,0,1,1,1,72,Spring
62,2011-01-03,1,0,1,16,0,1,1,1,76,Spring
63,2011-01-03,1,0,1,17,0,1,1,1,157,Spring
64,2011-01-03,1,0,1,18,0,1,1,1,157,Spring
65,2011-01-03,1,0,1,19,0,1,1,1,110,Spring
66,2011-01-03,1,0,1,20,0,1,1,1,52,Spring
67,2011-01-03,1,0,1,21,0,1,1,1,52,Spring
68,2011-01-03,1,0,1,22,0,1,1,1,20,Spring
69,2011-01-03,1,0,1,23,0,1,1,1,12,Spring
70,2011-01-04,1,0,1,0,0,2,1,1,5,Spring
71,2011-01-04,1,0,1,1,0,2,1,1,2,Spring
72,2011-01-04,1,0,1,2,0,2,1,1,1,Spring
73,2011-01-04,1,0,1,4,0,2,1,1,2,Spring
74,2011-01-04,1,0,1,5,0,2,1,1,4,Spring
75,2011-01-04,1,0,1,6,0,2,1,1,36,Spring
76,2011-01-04,1,0,1,7,0,2,1,1,94,Spring
77,2011-01-04,1,0,1,8,0,2,1,1,179,Spring
78,2011-01-04,1,0,1,9,0,2,1,1,100,Spring
79,2011-01-04,1,0,1,10,0,2,1,2,42,Spring
80,2011-01-04,1,0,1,11,0,2,1,1,57,Spring
81,2011-01-04,1,0,1,12,0,2,1,1,78,Spring
82,2011-01-04,1,0,1,13,0,2,1,1,97,Spring
83,2011-01-04,1,0,1,14,0,2,1,1,63,Spring
84,2011-01-04,1,0,1,15,0,2,1,1,65,Spring
85,2011-01-04,1,0,1,16,0,2,1,1,83,Spring
86,2011-01-04,1,0,1,17,0,2,1,1,212,Spring
87,2011-01-04,1,0,1,18,0,2,1,1,182,Spring
88,2011-01-04,1,0,1,19,0,2,1,1,112,Spring
89,2011-01-04,1,0,1,20,0,2,1,1,54,Spring
90,2011-01-04,1,0,1,21,0,2,1,1,48,Spring
91,2011-01-04,1,0,1,22,0,2,1,1,35,Spring
92,2011-01-04,1,0,1,23,0,2,1,1,11,Spring
93,2011-01-05,1,0,1,0,0,3,1,1,6,Spring
94,2011-01-05,1,0,1,1,0,3,1,1,6,Spring
95,2011-01-05,1,0,1,2,0,3,1,1,2,Spring
96,2011-01-05,1,0,1,4,0,3,1,1,2,Spring
97,2011-01-05,1,0,1,5,0,3,1,1,3,Spring
98,2011-01-05,1,0,1,6,0,3,1,1,33,Spring
99,2011-01-05,1,0,1,7,0,3,1,1,88,Spring
100,2011-01-05,1,0,1,8,0,3,1,1,195,Spring
101,2011-01-05,1,0,1,9,0,3,1,1,115,Spring
102,2011-01-05,1,0,1,10,0,3,1,1,57,Spring
103,2011-01-05,1,0,1,11,0,3,1,1,46,Spring
104,2011-01-05,1,0,1,12,0,3,1,1,79,Spring
105,2011-01-05,1,0,1,13,0,3,1,1,71,Spring
106,2011-01-05,1,0,1,14,0,3,1,1,62,Spring
107,2011-01-05,1,0,1,15,0,3,1,1,62,Spring
108,2011-01-05,1,0,1,16,0,3,1,1,89,Spring
109,2011-01-05,1,0,1,17,0,3,1,1,190,Spring
110,2011-01-05,1,0,1,18,0,3,1,1,169,Spring
111,2011-01-05,1,0,1,19,0,3,1,1,132,Spring
112,2011-01-05,1,0,1,20,0,3,1,1,89,Spring
113,2011-01-05,1,0,1,21,0,3,1,1,43,Spring
114,2011-01-05,1,0,1,22,0,3,1,1,42,Spring
115,2011-01-05,1,0,1,23,0,3,1,1,19,Spring
116,2011-01-06,1,0,1,0,0,4,1,1,11,Spring
117,2011-01-06,1,0,1,1,0,4,1,1,4,Spring
118,2011-01-06,1,0,1,2,0,4,1,1,2,Spring
119,2011-01-06,1,0,1,4,0,4,1,2,1,Spring
120,2011-01-06,1,0,1,5,0,4,1,2,4,Spring
121,2011-01-06,1,0,1,6,0,4,1,2,36,Spring
122,2011-01-06,1,0,1,7,0,4,1,2,95,Spring
123,2011-01-06,1,0,1,8,0,4,1,1,219,Spring
124,2011-01-06,1,0,1,9,0,4,1,2,122,Spring
125,2011-01-06,1,0,1,10,0,4,1,1,45,Spring
126,2011-01-06,1,0,1,11,0,4,1,1,59,Spring
127,2011-01-06,1,0,1,12,0,4,1,1,84,Spring
128,2011-01-06,1,0,1,13,0,4,1,1,67,Spring
129,2011-01-06,1,0,1,14,0,4,1,1,70,Spring
130,2011-01-06,1,0,1,15,0,4,1,1,62,Spring
131,2011-01-06,1,0,1,16,0,4,1,1,86,Spring
132,2011-01-06,1,0,1,17,0,4,1,1,172,Spring
133,2011-01-06,1,0,1,18,0,4,1,1,163,Spring
134,2011-01-06,1,0,1,19,0,4,1,1,112,Spring
135,2011-01-06,1,0,1,20,0,4,1,1,69,Spring
136,2011-01-06,1,0,1,21,0,4,1,2,48,Spring
137,2011-01-06,1,0,1,22,0,4,1,2,52,Spring
138,2011-01-06,1,0,1,23,0,4,1,2,23,Spring
139,2011-01-07,1,0,1,0,0,5,1,2,17,Spring
140,2011-01-07,1,0,1,1,0,5,1,2,7,Spring
141,2011-01-07,1,0,1,2,0,5,1,2,1,Spring
142,2011-01-07,1,0,1,4,0,5,1,2,1,Spring
143,2011-01-07,1,0,1,5,0,5,1,3,5,Spring
144,2011-01-07,1,0,1,6,0,5,1,2,34,Spring
145,2011-01-07,1,0,1,7,0,5,1,1,84,Spring
146,2011-01-07,1,0,1,8,0,5,1,1,210,Spring
147,2011-01-07,1,0,1,9,0,5,1,1,134,Spring
148,2011-01-07,1,0,1,10,0,5,1,1,63,Spring
149,2011-01-07,1,0,1,11,0,5,1,2,67,Spring
150,2011-01-07,1,0,1,12,0,5,1,2,59,Spring
151,2011-01-07,1,0,1,13,0,5,1,2,73,Spring
152,2011-01-07,1,0,1,14,0,5,1,2,50,Spring
153,2011-01-07,1,0,1,15,0,5,1,2,72,Spring
154,2011-01-07,1,0,1,16,0,5,1,2,87,Spring
155,2011-01-07,1,0,1,17,0,5,1,2,187,Spring
156,2011-01-07,1,0,1,18,0,5,1,1,123,Spring
157,2011-01-07,1,0,1,19,0,5,1,1,95,Spring
158,2011-01-07,1,0,1,20,0,5,1,1,51,Spring
159,2011-01-07,1,0,1,21,0,5,1,1,39,Spring
160,2011-01-07,1,0,1,22,0,5,1,2,36,Spring
161,2011-01-07,1,0,1,23,0,5,1,2,15,Spring
162,2011-01-08,1,0,1,0,0,6,0,2,25,Spring
163,2011-01-08,1,0,1,1,0,6,0,2,16,Spring
164,2011-01-08,1,0,1,2,0,6,0,2,16,Spring
165,2011-01-08,1,0,1,3,0,6,0,3,7,Spring
166,2011-01-08,1,0,1,4,0,6,0,3,1,Spring
167,2011-01-08,1,0,1,5,0,6,0,2,5,Spring
168,2011-01-08,1,0,1,6,0,6,0,2,2,Spring
169,2011-01-08,1,0,1,7,0,6,0,2,9,Spring
170,2011-01-08,1,0,1,8,0,6,0,3,15,Spring
171,2011-01-08,1,0,1,9,0,6,0,3,20,Spring
172,2011-01-08,1,0,1,10,0,6,0,2,61,Spring
173,2011-01-08,1,0,1,11,0,6,0,2,62,Spring
174,2011-01-08,1,0,1,12,0,6,0,2,98,Spring
175,2011-01-08,1,0,1,13,0,6,0,1,102,Spring
176,2011-01-08,1,0,1,14,0,6,0,1,95,Spring
177,2011-01-08,1,0,1,15,0,6,0,1,74,Spring
178,2011-01-08,1,0,1,16,0,6,0,1,76,Spring
179,2011-01-08,1,0,1,17,0,6,0,1,69,Spring
180,2011-01-08,1,0,1,18,0,6,0,1,55,Spring
181,2011-01-08,1,0,1,19,0,6,0,1,30,Spring
182,2011-01-08,1,0,1,20,0,6,0,1,28,Spring
183,2011-01-08,1,0,1,21,0,6,0,1,37,Spring
184,2011-01-08,1,0,1,22,0,6,0,1,34,Spring
185,2011-01-08,1,0,1,23,0,6,0,1,22,Spring
186,2011-01-09,1,0,1,0,0,0,0,1,25,Spring
187,2011-01-09,1,0,1,1,0,0,0,1,12,Spring
188,2011-01-09,1,0,1,2,0,0,0,1,11,Spring
189,2011-01-09,1,0,1,3,0,0,0,1,4,Spring
190,2011-01-09,1,0,1,4,0,0,0,1,1,Spring
191,2011-01-09,1,0,1,5,0,0,0,1,1,Spring
192,2011-01-09,1,0,1,6,0,0,0,1,1,Spring
193,2011-01-09,1,0,1,7,0,0,0,1,6,Spring
194,2011-01-09,1,0,1,8,0,0,0,1,10,Spring
195,2011-01-09,1,0,1,9,0,0,0,1,19,Spring
196,2011-01-09,1,0,1,10,0,0,0,1,49,Spring
197,2011-01-09,1,0,1,11,0,0,0,1,49,Spring
198,2011-01-09,1,0,1,12,0,0,0,1,83,Spring
199,2011-01-09,1,0,1,13,0,0,0,1,75,Spring
200,2011-01-09,1,0,1,14,0,0,0,1,72,Spring
201,2011-01-09,1,0,1,15,0,0,0,1,82,Spring
202,2011-01-09,1,0,1,16,0,0,0,1,92,Spring
203,2011-01-09,1,0,1,17,0,0,0,1,62,Spring
204,2011-01-09,1,0,1,18,0,0,0,1,48,Spring
205,2011-01-09,1,0,1,19,0,0,0,1,41,Spring
206,2011-01-09,1,0,1,20,0,0,0,1,38,Spring
207,2011-01-09,1,0,1,21,0,0,0,1,20,Spring
208,2011-01-09,1,0,1,22,0,0,0,1,15,Spring
209,2011-01-09,1,0,1,23,0,0,0,1,6,Spring
210,2011-01-10,1,0,1,0,0,1,1,1,5,Spring
211,2011-01-10,1,0,1,1,0,1,1,1,1,Spring
212,2011-01-10,1,0,1,2,0,1,1,1,3,Spring
213,2011-01-10,1,0,1,3,0,1,1,1,1,Spring
214,2011-01-10,1,0,1,4,0,1,1,1,3,Spring
215,2011-01-10,1,0,1,5,0,1,1,1,3,Spring
216,2011-01-10,1,0,1,6,0,1,1,1,31,Spring
217,2011-01-10,1,0,1,7,0,1,1,1,77,Spring
218,2011-01-10,1,0,1,8,0,1,1,2,188,Spring
219,2011-01-10,1,0,1,9,0,1,1,2,94,Spring
220,2011-01-10,1,0,1,10,0,1,1,2,31,Spring
221,2011-01-10,1,0,1,11,0,1,1,2,30,Spring
222,2011-01-10,1,0,1,12,0,1,1,2,52,Spring
223,2011-01-10,1,0,1,13,0,1,1,2,54,Spring
224,2011-01-10,1,0,1,14,0,1,1,2,47,Spring
225,2011-01-10,1,0,1,15,0,1,1,2,45,Spring
226,2011-01-10,1,0,1,16,0,1,1,1,74,Spring
227,2011-01-10,1,0,1,17,0,1,1,1,178,Spring
